"omega_stop_mode","sub_stop_mode","omega_stop_metric","inner_iter","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
"duality_gap","residual_plus_proxy",0.026018626461686,74.0581395348838,29,0.054168756032011,0.111982127973692,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0247755713854766,65.3127572016461,30,0.0463395969512803,0.0957970434650741,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,38.4052631578947,31,0.03964200773483,0.0819512336719061,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00472620107810134,26.9545454545455,32,0.0339124394823833,0.0701065967948781,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00419778632511379,29.9421965317919,33,0.0290109814653977,0.059973897816312,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00573950477086478,32.808,34,0.0248179446371843,0.0513057056500027,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00561984042461986,33.928,35,0.021230938937691,0.0438903511041895,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,35.8897637795275,36,0.0181623730234537,0.0375467581167345,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,38.6212121212121,37,0.0155373153684439,0.0321200220460756,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,41.5217391304348,38,0.0132916645058849,0.0274776270439327,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,43.241134751773,39,0.0113705837300447,0.0235062101415248,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,45.0069444444444,40,0.00972716203487634,0.0201087930312938,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,46.75,41,0.00832126859087539,0.0172024139468184,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00294310192403723,52.190243902439,42,0.0071185727875427,0.0147161018136279,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,49.2834224598931,43,0.00608970591180167,0.0125891432015631,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00241219339524582,54.3761904761905,44,0.00520954399133618,0.0107695997592715,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,52.5192307692308,45,0.00445659429055048,0.00921303992796748,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,56.9464285714285,46,0.0038124704779531,0.00788145396408534,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,46.2622950819672,47,0.00326144364904004,0.00674232577668861,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,47.6363636363636,48,0.00279005824107379,0.00576783891476746,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,49.3802083333334,49,0.00238680346075426,0.00493419731537282,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,44.9887005649717,50,0.00204183220135076,0.00422104422588818,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,45.4860335195531,51,0.0017467205855129,0.00361096511106137,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,45.0409356725146,52,0.00149426226201944,0.00308906240624825,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,67.5,53,0.00127829243338299,0.00264259173273804,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,72,54,0.00109353731722829,0.0022606506918767,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,41,55,0.000935485365430906,0.00193391263863052,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,37,56,0.000800277096307539,0.00165439893358759,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,36,57,0.000684610849662435,0.00141528411200309,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,35.5,58,0.000585662163315752,0.00121072921229753,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,34.5,59,0.000501014802363725,0.00103573919404487,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,33.5,60,0.000428601756969282,0.00088604096373046,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,23.2792792792793,1,4.28601756969282,8.86040963730461,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,500.5,2,3.66654767904032,7.57979029781112,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,496.60007934934,3,3.13661147302283,6.4842623886032,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00210912308351287,53.1958762886598,4,2.68326840230086,5.54707413691853,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,500.5,5,2.29544825067144,4.74534027718437,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0228593533931469,399.448806774444,6,1.96368081068312,4.05948321411427,1e-04,"case_oracle_change"
