"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
3,1,1e-08,0,TRUE,459,TRUE,25,0.101142877001776,0.209090911915109,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,200,TRUE,25,0.101142877001776,0.209090911915109,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,338,TRUE,26,0.0865244192055192,0.178870428159656,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,290,TRUE,26,0.0865244192055192,0.178870428159656,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,252,TRUE,26,0.0865244192055192,0.178870428159656,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,178,TRUE,26,0.0865244192055192,0.178870428159656,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,310,TRUE,27,0.0740188072633227,0.153017793920229,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,275,TRUE,27,0.0740188072633227,0.153017793920229,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,233,TRUE,27,0.0740188072633227,0.153017793920229,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,159,TRUE,27,0.0740188072633227,0.153017793920229,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,272,TRUE,28,0.0633206657610876,0.130901711910223,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,214,TRUE,28,0.0633206657610876,0.130901711910223,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,180,TRUE,28,0.0633206657610876,0.130901711910223,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,120,TRUE,28,0.0633206657610876,0.130901711910223,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,397,TRUE,29,0.054168756032011,0.111982127973692,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,224,TRUE,29,0.054168756032011,0.111982127973692,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,162,TRUE,29,0.054168756032011,0.111982127973692,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,103,TRUE,29,0.054168756032011,0.111982127973692,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,313,TRUE,30,0.0463395969512803,0.0957970434650741,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,495,TRUE,30,0.0463395969512803,0.0957970434650741,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,181,TRUE,30,0.0463395969512803,0.0957970434650741,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,92,TRUE,30,0.0463395969512803,0.0957970434650741,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,351,TRUE,31,0.03964200773483,0.0819512336719061,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,388,TRUE,31,0.03964200773483,0.0819512336719061,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,1000,FALSE,31,0.03964200773483,0.0819512336719061,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,87,TRUE,31,0.03964200773483,0.0819512336719061,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,407,TRUE,32,0.0339124394823833,0.0701065967948781,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,409,TRUE,32,0.0339124394823833,0.0701065967948781,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,1000,FALSE,32,0.0339124394823833,0.0701065967948781,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,1000,FALSE,32,0.0339124394823833,0.0701065967948781,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,1000,FALSE,33,0.0290109814653977,0.059973897816312,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,550,TRUE,33,0.0290109814653977,0.059973897816312,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,222,TRUE,33,0.0290109814653977,0.059973897816312,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,118,TRUE,33,0.0290109814653977,0.059973897816312,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,253,TRUE,34,0.0248179446371843,0.0513057056500027,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,213,TRUE,34,0.0248179446371843,0.0513057056500027,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,189,TRUE,34,0.0248179446371843,0.0513057056500027,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,108,TRUE,34,0.0248179446371843,0.0513057056500027,1e-07,"case_relative_change"
