"inner_iter","inner_training_loss","r_norm","s_norm","residual_sum","eps_pri","eps_dual","primal_dual_gap","progress_proxy","admm_tol_target","rho","sub_stop_mode","omega_stop_mode","omega_stop_metric","outer_iter","sub_attempt","direction_norm_fro","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
2,136.369739986197,0.22627615508528,0.743896476953161,0.970172632038441,7.10633520177595e-07,7.10633520177595e-07,1046807.46943552,0.00271725923585415,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,0.295981072903309,4,2.68326840230086,5.54707413691853,1e-07,"case_norm_mode"
3,136.351180538081,0.195264506950198,0.200738381544458,0.396002888494657,7.10633520177595e-07,7.10633520177595e-07,282478.064775627,0.000136096527855584,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,0.295981072903309,4,2.68326840230086,5.54707413691853,1e-07,"case_norm_mode"
4,136.337981978237,0.169119609262086,0.109226711391258,0.278346320653344,7.10633520177595e-07,7.10633520177595e-07,237984.2836851,9.67982806688978e-05,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,0.295981072903309,4,2.68326840230086,5.54707413691853,1e-07,"case_norm_mode"
5,136.331705881268,0.149671602184845,0.0656326004018808,0.215304202586726,7.10633520177595e-07,7.10633520177595e-07,210617.143626211,4.60333714634019e-05,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,0.295981072903309,4,2.68326840230086,5.54707413691853,1e-07,"case_norm_mode"
1,136.326218972287,0.128162797065066,0.0609267243905215,0.189089521455588,7.10633520177595e-07,7.10633520177595e-07,180350.058681494,NA,1e-08,4,"residual_plus_proxy","duality_gap",0,2,1,0.166235206198689,4,2.68326840230086,5.54707413691853,1e-07,"case_norm_mode"
2,136.323676760324,0.114925517039964,0.0262484469544554,0.141173963994419,7.10633520177595e-07,7.10633520177595e-07,161722.623232356,1.86480046293138e-05,1e-08,4,"residual_plus_proxy","duality_gap",0,2,1,0.166235206198689,4,2.68326840230086,5.54707413691853,1e-07,"case_norm_mode"
3,136.321618521938,0.103440224739526,0.0224570586959326,0.125897283435458,7.10633520177595e-07,7.10633520177595e-07,145560.57630616,1.50981724936442e-05,1e-08,4,"residual_plus_proxy","duality_gap",0,2,1,0.166235206198689,4,2.68326840230086,5.54707413691853,1e-07,"case_norm_mode"
4,136.320084563628,0.0934565846819205,0.0144751591152211,0.107931743797142,7.10633520177595e-07,7.10633520177595e-07,131511.647042156,1.12524948465548e-05,1e-08,4,"residual_plus_proxy","duality_gap",0,2,1,0.166235206198689,4,2.68326840230086,5.54707413691853,1e-07,"case_norm_mode"
5,136.318798022379,0.0846380623233502,0.0123743699345846,0.0970124322579347,7.10633520177595e-07,7.10633520177595e-07,119102.265682877,9.43765001651764e-06,1e-08,4,"residual_plus_proxy","duality_gap",0,2,1,0.166235206198689,4,2.68326840230086,5.54707413691853,1e-07,"case_norm_mode"
1,136.045414192578,0.842800523913006,3.37566870529363,4.21846922920664,7.10633520177595e-07,7.10633520177595e-07,4750224.42573497,NA,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,2.10175528833647,5,2.29544825067144,4.74534027718437,1e-07,"case_norm_mode"
2,134.324907772715,0.0859208255340517,1.52449094804066,1.61041177357471,7.10633520177595e-07,7.10633520177595e-07,2145256.17600993,0.0126465594601216,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,2.10175528833647,5,2.29544825067144,4.74534027718437,1e-07,"case_norm_mode"
3,138.616657747897,1.63258754559319,1.89013096775438,3.52271851334758,7.10633520177595e-07,7.10633520177595e-07,2659783.01626135,0.0319505149591787,1e-08,2,"residual_plus_proxy","duality_gap",0,1,1,2.10175528833647,5,2.29544825067144,4.74534027718437,1e-07,"case_norm_mode"
4,138.405875268789,1.25286049940659,0.0811702126139135,1.3340307120205,7.10633520177595e-07,7.10633520177595e-07,1763019.14254408,0.00152061435135613,1e-08,2,"residual_plus_proxy","duality_gap",0,1,1,2.10175528833647,5,2.29544825067144,4.74534027718437,1e-07,"case_norm_mode"
5,154.886520352945,2.69028489030963,10.0415200300847,12.7318049203943,7.10633520177595e-07,7.10633520177595e-07,14130377.6770552,0.119074750635767,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,2.10175528833647,5,2.29544825067144,4.74534027718437,1e-07,"case_norm_mode"
1,135.560010129891,0.225876831304862,4.7749232797417,5.00080011104656,7.10633520177595e-07,7.10633520177595e-07,6719248.59180355,NA,1e-08,4,"residual_plus_proxy","duality_gap",0,2,1,2.58820730685519,5,2.29544825067144,4.74534027718437,1e-07,"case_norm_mode"
2,139.127213414243,1.71308028049362,2.70446587212691,4.41754615262053,7.10633520177595e-07,7.10633520177595e-07,3805711.09487072,0.0263145693256744,1e-08,2,"residual_plus_proxy","duality_gap",0,2,1,2.58820730685519,5,2.29544825067144,4.74534027718437,1e-07,"case_norm_mode"
3,138.613452008272,1.20829759894413,0.151355426014556,1.35965302495868,7.10633520177595e-07,7.10633520177595e-07,1700310.44784119,0.00369274560571117,1e-08,2,"residual_plus_proxy","duality_gap",0,2,1,2.58820730685519,5,2.29544825067144,4.74534027718437,1e-07,"case_norm_mode"
4,138.433771249775,1.02280870137444,0.0675116824175584,1.090320383792,7.10633520177595e-07,7.10633520177595e-07,1439291.38203167,0.00129627215753233,1e-08,2,"residual_plus_proxy","duality_gap",0,2,1,2.58820730685519,5,2.29544825067144,4.74534027718437,1e-07,"case_norm_mode"
5,182.1198754077,3.75715065214697,12.9906680984165,16.7478187505635,7.10633520177595e-07,7.10633520177595e-07,18280404.356904,0.315574037776539,1e-08,4,"residual_plus_proxy","duality_gap",0,2,1,2.58820730685519,5,2.29544825067144,4.74534027718437,1e-07,"case_norm_mode"
1,139.460001836514,0.910130094778122,3.71657320530939,4.62670330008751,7.10633520177595e-07,7.10633520177595e-07,5229943.56413215,NA,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,0.632392806323928,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
2,132.352480009084,0.305307167641594,3.25508630965608,3.56039347729767,7.10633520177595e-07,7.10633520177595e-07,4580541.47071841,0.0509645900891461,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,0.632392806323928,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
3,139.591482231013,1.94047793654437,3.23389055886694,5.1743684954113,7.10633520177595e-07,7.10633520177595e-07,4550714.91429049,0.054694874032067,1e-08,2,"residual_plus_proxy","duality_gap",0,1,1,0.632392806323928,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
4,138.796237768454,1.30247766348634,0.203730479418884,1.50620814290523,7.10633520177595e-07,7.10633520177595e-07,1832840.17219007,0.00569694117326659,1e-08,2,"residual_plus_proxy","duality_gap",0,1,1,0.632392806323928,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
5,136.522071736936,0.944599652610471,0.669476379241745,1.61407603185222,7.10633520177595e-07,7.10633520177595e-07,1329235.99265963,0.0163849256152852,1e-08,2,"residual_plus_proxy","duality_gap",0,1,1,0.632392806323928,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
1,133.705808629727,0.625389888297519,0.943617136811576,1.5690070251091,7.10633520177595e-08,7.10633520177595e-08,13278534.0125211,NA,1e-09,2,"residual_plus_proxy","duality_gap",0,1,2,0.264448794667876,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
2,132.563768440174,0.468267231621499,0.557141803598241,1.02540903521974,7.10633520177595e-08,7.10633520177595e-08,7840072.10156658,0.00854144035519356,1e-09,2,"residual_plus_proxy","duality_gap",0,1,2,0.264448794667876,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
3,132.067078790422,0.371295612266449,0.341493844913166,0.712789457179615,7.10633520177595e-08,7.10633520177595e-08,5224853.62319608,0.00374679790410209,1e-09,2,"residual_plus_proxy","duality_gap",0,1,2,0.264448794667876,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
4,131.872314231648,0.322464262433137,0.195168357066064,0.517632619499201,7.10633520177595e-08,7.10633520177595e-08,4537701.26622439,0.00147473965925192,1e-09,2,"residual_plus_proxy","duality_gap",0,1,2,0.264448794667876,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
5,131.737769403366,0.284505296254463,0.141503302083196,0.426008598337658,7.10633520177595e-08,7.10633520177595e-08,4003544.55814809,0.00102026592212504,1e-09,2,"residual_plus_proxy","duality_gap",0,1,2,0.264448794667876,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
1,131.643179997581,0.273448821493535,0.137693233495543,0.411142054989078,7.10633520177595e-07,7.10633520177595e-07,384795.838824486,NA,1e-08,2,"residual_plus_proxy","duality_gap",0,2,1,0.189191723046102,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
2,131.593942225247,0.252013650005318,0.0713000254776803,0.323313675482998,7.10633520177595e-07,7.10633520177595e-07,354632.370764521,0.000374024482962848,1e-08,2,"residual_plus_proxy","duality_gap",0,2,1,0.189191723046102,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
3,131.565171774101,0.234416869979925,0.0417048935887581,0.276121763568683,7.10633520177595e-07,7.10633520177595e-07,329870.26832247,0.000218630513371008,1e-08,2,"residual_plus_proxy","duality_gap",0,2,1,0.189191723046102,6,1.96368081068312,4.05948321411427,1e-07,"case_norm_mode"
