"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
1,62,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
2,39,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
3,26,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
4,15,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
5,3,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
6,4,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
7,3,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
8,2,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
9,1,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
10,1,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
11,1,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
12,1,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
13,1,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
14,1,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
15,1,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
16,1,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
17,11,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
18,16,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
19,6,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
20,7,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
21,37,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
22,91,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_norm_mode"
1,115,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
