"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_converged","pg_final_loss","pg_converged","diff_pg_minus_pn","abs_diff","case","tol_outer","tol_inner_base","tol_inner_floor","max_iter_outer"
49,0.00238680346075426,0.00493419731537282,28.2187925646064,TRUE,28.2402145017269,TRUE,0.0214219371205893,0.0214219371205893,"case_norm_mode",1e-04,1e-05,1e-08,10000
50,0.00204183220135076,0.00422104422588818,27.9604259999616,TRUE,27.9831298789745,TRUE,0.0227038790129193,0.0227038790129193,"case_norm_mode",1e-04,1e-05,1e-08,10000
51,0.0017467205855129,0.00361096511106137,27.73171341829,TRUE,27.7551305868652,TRUE,0.0234171685752358,0.0234171685752358,"case_norm_mode",1e-04,1e-05,1e-08,10000
52,0.00149426226201944,0.00308906240624825,27.5298961628542,TRUE,27.5536105954395,TRUE,0.0237144325852761,0.0237144325852761,"case_norm_mode",1e-04,1e-05,1e-08,10000
53,0.00127829243338299,0.00264259173273804,27.3522600605129,TRUE,27.3725774896449,TRUE,0.0203174291320494,0.0203174291320494,"case_norm_mode",1e-04,1e-05,1e-08,10000
54,0.00109353731722829,0.0022606506918767,27.1962610321658,TRUE,27.2206296333687,TRUE,0.0243686012029016,0.0243686012029016,"case_norm_mode",1e-04,1e-05,1e-08,10000
55,0.000935485365430906,0.00193391263863052,27.0595519479728,TRUE,27.087847126458,TRUE,0.0282951784852123,0.0282951784852123,"case_norm_mode",1e-04,1e-05,1e-08,10000
56,0.000800277096307539,0.00165439893358759,26.9400199198312,TRUE,26.971591838581,TRUE,0.0315719187498047,0.0315719187498047,"case_norm_mode",1e-04,1e-05,1e-08,10000
57,0.000684610849662435,0.00141528411200309,26.8357285867115,TRUE,26.8703183006388,TRUE,0.0345897139272715,0.0345897139272715,"case_norm_mode",1e-04,1e-05,1e-08,10000
58,0.000585662163315752,0.00121072921229753,26.7449191551688,TRUE,26.7821895819189,TRUE,0.0372704267500943,0.0372704267500943,"case_norm_mode",1e-04,1e-05,1e-08,10000
59,0.000501014802363725,0.00103573919404487,26.6660015695093,TRUE,26.710547960612,TRUE,0.0445463911026742,0.0445463911026742,"case_norm_mode",1e-04,1e-05,1e-08,10000
