"outer_iter","training_loss","delta_loss","relative_obj_change","oracle_gap_abs","oracle_gap_rel","local_norm","step_size","line_search_halvings","line_search_success","line_search_forced","armijo_lhs","armijo_rhs","inner_iters","inner_converged","admm_tol_used","direction_norm_fro","refinement_triggered","refinement_rounds","subproblem_attempts","stop_mode_hit","min_eig","max_eig","kappa","nnz_gamma_total","nnz_gamma_pen","gamma_pen_sparsity","nnz_omega_offdiag_upper","omega_offdiag_sparsity","elapsed_sec","path_index","lambda_gamma","lambda_Omega","solver_tol"
2,106.043544454655,-0.0754496855334423,0.000704353939644918,NA,NA,0.402795695422453,0.712862181758299,0,TRUE,FALSE,NA,NA,185,TRUE,1e-07,0.284781922882714,FALSE,0,1,NA,0.13306030148785,0.469624247993319,3.52940916818981,150,100,0.04,11,0.00897959183673469,5.12009596824646,12,0.769646387302891,1.5910766011778,1e-05
3,106.035004163215,-0.00854029143974344,7.97833394181117e-05,NA,NA,0.131044666258839,0.88413838094273,0,TRUE,FALSE,NA,NA,192,TRUE,1e-07,0.0969108542195337,FALSE,0,1,NA,0.133671270974451,0.475734405598422,3.55898767274646,150,100,0.04,11,0.00897959183673469,7.65269088745117,12,0.769646387302891,1.5910766011778,1e-05
4,106.034855371205,-0.000148792009539989,1.39012476061663e-06,NA,NA,0.0172379953159679,0.983054117723342,0,TRUE,FALSE,NA,NA,39,TRUE,1e-07,0.0130240758855751,FALSE,0,1,"relative_change",0.133768685502837,0.476659704109984,3.56331306028924,150,100,0.04,11,0.00897959183673469,7.68253493309021,12,0.769646387302891,1.5910766011778,1e-05
0,101.787429667756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.133768685502837,0.476659704109984,3.56331306028924,150,100,0.04,11,0.00897959183673469,0,13,0.658407281155739,1.3611139302077,1e-05
1,101.774856543754,-0.0125731240020599,0.000122321611141562,NA,NA,1.85962973128573,0.0874239057122954,2,TRUE,FALSE,NA,NA,1000,FALSE,1e-07,0.56396686188897,FALSE,0,1,NA,0.12759319076167,0.482609832271108,3.78241056117618,150,100,0.04,11,0.00897959183673469,18.7740840911865,13,0.658407281155739,1.3611139302077,1e-05
2,101.619314815421,-0.155541728332793,0.0015134219940903,NA,NA,0.624899421466118,0.615422706654494,0,TRUE,FALSE,NA,NA,1000,FALSE,1e-07,0.414272717969312,FALSE,0,1,NA,0.133590792213289,0.502699581014965,3.76298076152106,150,100,0.04,11,0.00897959183673469,37.1321489810944,13,0.658407281155739,1.3611139302077,1e-05
3,101.489905259425,-0.129409555996816,0.00126106431551975,NA,NA,0.540999364695484,0.648929534242611,0,TRUE,FALSE,NA,NA,183,TRUE,1e-07,0.343047612515713,FALSE,0,1,NA,0.135663722175404,0.514628723390756,3.79341444520721,150,100,0.04,18,0.0146938775510204,39.6432909965515,13,0.658407281155739,1.3611139302077,1e-05
4,101.469164995685,-0.0207402637394551,0.000202363966353144,NA,NA,0.205875437879245,0.829273048100793,0,TRUE,FALSE,NA,NA,71,TRUE,1e-07,0.142293907156931,FALSE,0,1,NA,0.137091084296184,0.520928466641452,3.79987122660719,150,100,0.04,18,0.0146938775510204,39.6922478675842,13,0.658407281155739,1.3611139302077,1e-05
5,101.468410942887,-0.000754052798441762,7.35882641840122e-06,NA,NA,0.0388079717454875,0.962641823319589,0,TRUE,FALSE,NA,NA,62,TRUE,1e-07,0.0282760398161616,FALSE,0,1,"relative_change",0.137488342449029,0.5223631213328,3.79932663401231,150,100,0.04,18,0.0146938775510204,39.7354459762573,13,0.658407281155739,1.3611139302077,1e-05
0,97.2678672123601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.137488342449029,0.5223631213328,3.79932663401231,150,100,0.04,18,0.0146938775510204,0,14,0.563245868531947,1.16438839565236,1e-05
1,97.0381972806007,-0.229669931759418,0.00233718242060849,NA,NA,0.74408273144508,0.573367296155406,0,TRUE,FALSE,NA,NA,175,TRUE,1e-07,0.616596712342335,FALSE,0,1,NA,0.138995552851172,0.547808913872769,3.94119741700894,150,100,0.04,25,0.0204081632653061,1.98064804077148,14,0.563245868531947,1.16438839565236,1e-05
2,96.9774170915607,-0.0607801890399742,0.000619964368235084,NA,NA,0.35909721574516,0.735782538890512,0,TRUE,FALSE,NA,NA,184,TRUE,1e-07,0.318299692468946,FALSE,0,1,NA,0.140303917109962,0.564882180547964,4.02613264250665,150,100,0.04,25,0.0204081632653061,3.86234593391418,14,0.563245868531947,1.16438839565236,1e-05
3,96.9716290135222,-0.00578807803853465,5.9075634062956e-05,NA,NA,0.107714590332953,0.902759617619033,0,TRUE,FALSE,NA,NA,191,TRUE,1e-07,0.0997940028304688,FALSE,0,1,NA,0.14088768548176,0.571508975339342,4.05648636632142,150,100,0.04,25,0.0204081632653061,5.76021194458008,14,0.563245868531947,1.16438839565236,1e-05
4,96.9715579149169,-7.10986052752105e-05,7.2570606400142e-07,NA,NA,0.0119137318644607,0.98822653405196,0,TRUE,FALSE,NA,NA,49,TRUE,1e-07,0.0112642442094682,FALSE,0,1,"relative_change",0.140967352620104,0.572332410658635,4.06003517850709,150,100,0.04,25,0.0204081632653061,5.79674696922302,14,0.563245868531947,1.16438839565236,1e-05
0,92.8510717968152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.140967352620104,0.572332410658635,4.06003517850709,150,100,0.04,25,0.0204081632653061,0,15,0.481838396230109,0.996096142901866,1e-05
1,92.6371905411962,-0.213881255618958,0.00227894313324417,NA,NA,0.714379430338064,0.583301445586527,0,TRUE,FALSE,NA,NA,170,TRUE,1e-07,0.658538353952975,FALSE,0,1,NA,0.141587097990402,0.600365416494806,4.24025511516242,154,104,0.0416,32,0.0261224489795918,1.87861800193787,15,0.481838396230109,0.996096142901866,1e-05
