"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
1,102,TRUE,45,0.00445659429055048,0.00921303992796748,1e-04,"case_relative_change"
2,106,TRUE,45,0.00445659429055048,0.00921303992796748,1e-04,"case_relative_change"
1,102,TRUE,46,0.0038124704779531,0.00788145396408534,1e-04,"case_relative_change"
2,122,TRUE,46,0.0038124704779531,0.00788145396408534,1e-04,"case_relative_change"
1,93,TRUE,47,0.00326144364904004,0.00674232577668861,1e-04,"case_relative_change"
2,90,TRUE,47,0.00326144364904004,0.00674232577668861,1e-04,"case_relative_change"
1,85,TRUE,48,0.00279005824107379,0.00576783891476746,1e-04,"case_relative_change"
2,102,TRUE,48,0.00279005824107379,0.00576783891476746,1e-04,"case_relative_change"
1,83,TRUE,49,0.00238680346075426,0.00493419731537282,1e-04,"case_relative_change"
2,109,TRUE,49,0.00238680346075426,0.00493419731537282,1e-04,"case_relative_change"
1,82,TRUE,50,0.00204183220135076,0.00422104422588818,1e-04,"case_relative_change"
2,95,TRUE,50,0.00204183220135076,0.00422104422588818,1e-04,"case_relative_change"
1,83,TRUE,51,0.0017467205855129,0.00361096511106137,1e-04,"case_relative_change"
2,96,TRUE,51,0.0017467205855129,0.00361096511106137,1e-04,"case_relative_change"
1,103,TRUE,52,0.00149426226201944,0.00308906240624825,1e-04,"case_relative_change"
2,68,TRUE,52,0.00149426226201944,0.00308906240624825,1e-04,"case_relative_change"
1,134,TRUE,53,0.00127829243338299,0.00264259173273804,1e-04,"case_relative_change"
1,143,TRUE,54,0.00109353731722829,0.0022606506918767,1e-04,"case_relative_change"
1,81,TRUE,55,0.000935485365430906,0.00193391263863052,1e-04,"case_relative_change"
1,73,TRUE,56,0.000800277096307539,0.00165439893358759,1e-04,"case_relative_change"
1,71,TRUE,57,0.000684610849662435,0.00141528411200309,1e-04,"case_relative_change"
1,70,TRUE,58,0.000585662163315752,0.00121072921229753,1e-04,"case_relative_change"
1,68,TRUE,59,0.000501014802363725,0.00103573919404487,1e-04,"case_relative_change"
1,66,TRUE,60,0.000428601756969282,0.00088604096373046,1e-04,"case_relative_change"
