"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol"
31,0.03964200773483,0.0819512336719061,"Prox-Gradient",63,NA,TRUE,"objective stabilized",0.0345051288604736,47.4721223297563,1e-05
32,0.0339124394823833,0.0701065967948781,"Prox-Gradient",35,NA,TRUE,"objective stabilized",0.0202889442443848,45.9408017384062,1e-05
33,0.0290109814653977,0.059973897816312,"Prox-Gradient",42,NA,TRUE,"objective stabilized",0.0235691070556641,44.4181483032264,1e-05
34,0.0248179446371843,0.0513057056500027,"Prox-Gradient",60,NA,TRUE,"objective stabilized",0.0335290431976318,42.8400080248156,1e-05
35,0.021230938937691,0.0438903511041895,"Prox-Gradient",4,NA,TRUE,"objective stabilized",0.0045630931854248,41.9644487151664,1e-05
36,0.0181623730234537,0.0375467581167345,"Prox-Gradient",84,NA,TRUE,"objective stabilized",0.0686299800872803,40.324133831746,1e-05
37,0.0155373153684439,0.0321200220460756,"Prox-Gradient",74,NA,TRUE,"objective stabilized",0.0398759841918945,38.9300066711714,1e-05
38,0.0132916645058849,0.0274776270439327,"Prox-Gradient",152,NA,TRUE,"objective stabilized",0.0786969661712646,37.3051134654846,1e-05
39,0.0113705837300447,0.0235062101415248,"Prox-Gradient",66,NA,TRUE,"objective stabilized",0.0347030162811279,36.3452588755205,1e-05
40,0.00972716203487634,0.0201087930312938,"Prox-Gradient",1000,NA,FALSE,"max_iter reached",0.500611066818237,34.2930955639659,1e-05
41,0.00832126859087539,0.0172024139468184,"Prox-Gradient",860,NA,TRUE,"objective stabilized",0.512588977813721,33.1469677449568,1e-05
42,0.0071185727875427,0.0147161018136279,"Prox-Gradient",518,NA,TRUE,"objective stabilized",0.256026983261108,32.3775393290698,1e-05
43,0.00608970591180167,0.0125891432015631,"Prox-Gradient",504,NA,TRUE,"objective stabilized",0.249788999557495,31.705002865959,1e-05
44,0.00520954399133618,0.0107695997592715,"Prox-Gradient",416,NA,TRUE,"objective stabilized",0.207406997680664,31.1378762669048,1e-05
45,0.00445659429055048,0.00921303992796748,"Prox-Gradient",331,NA,TRUE,"objective stabilized",0.168154954910278,30.6487409714182,1e-05
46,0.0038124704779531,0.00788145396408534,"Prox-Gradient",278,NA,TRUE,"objective stabilized",0.138128042221069,30.232519642837,1e-05
47,0.00326144364904004,0.00674232577668861,"Prox-Gradient",312,NA,TRUE,"objective stabilized",0.179986000061035,29.8400405660873,1e-05
48,0.00279005824107379,0.00576783891476746,"Prox-Gradient",209,NA,TRUE,"objective stabilized",0.104966878890991,29.4221899967449,1e-05
49,0.00238680346075426,0.00493419731537282,"Prox-Gradient",34,NA,TRUE,"objective stabilized",0.020103931427002,29.1892634399408,1e-05
50,0.00204183220135076,0.00422104422588818,"Prox-Gradient",42,NA,TRUE,"objective stabilized",0.0429120063781738,28.9395800473939,1e-05
51,0.0017467205855129,0.00361096511106137,"Prox-Gradient",123,NA,TRUE,"objective stabilized",0.0825250148773193,28.660565873652,1e-05
52,0.00149426226201944,0.00308906240624825,"Prox-Gradient",4,NA,TRUE,"objective stabilized",0.032567024230957,28.5167048020432,1e-05
53,0.00127829243338299,0.00264259173273804,"Prox-Gradient",46,NA,TRUE,"objective stabilized",0.0533158779144287,28.3090654815439,1e-05
54,0.00109353731722829,0.0022606506918767,"Prox-Gradient",20,NA,TRUE,"objective stabilized",0.0328760147094727,28.1839631054585,1e-05
55,0.000935485365430906,0.00193391263863052,"Prox-Gradient",3,NA,TRUE,"objective stabilized",0.00341486930847168,28.0908723969224,1e-05
56,0.000800277096307539,0.00165439893358759,"Prox-Gradient",75,NA,TRUE,"objective stabilized",0.0591800212860107,27.9722975787903,1e-05
57,0.000684610849662435,0.00141528411200309,"Prox-Gradient",55,NA,TRUE,"objective stabilized",0.030573844909668,27.8411193717077,1e-05
58,0.000585662163315752,0.00121072921229753,"Prox-Gradient",2,NA,TRUE,"objective stabilized",0.0321829319000244,27.7809276323403,1e-05
59,0.000501014802363725,0.00103573919404487,"Prox-Gradient",4,NA,TRUE,"objective stabilized",0.0327990055084229,27.7287691500122,1e-05
60,0.000428601756969282,0.00088604096373046,"Prox-Gradient",41,NA,TRUE,"objective stabilized",0.0424869060516357,27.262495493235,1e-05
