"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol"
1,210,TRUE,33,0.0290109814653977,0.059973897816312,1e-05
2,150,TRUE,33,0.0290109814653977,0.059973897816312,1e-05
3,118,TRUE,33,0.0290109814653977,0.059973897816312,1e-05
1,168,TRUE,34,0.0248179446371843,0.0513057056500027,1e-05
2,143,TRUE,34,0.0248179446371843,0.0513057056500027,1e-05
3,109,TRUE,34,0.0248179446371843,0.0513057056500027,1e-05
1,181,TRUE,35,0.021230938937691,0.0438903511041895,1e-05
2,138,TRUE,35,0.021230938937691,0.0438903511041895,1e-05
3,102,TRUE,35,0.021230938937691,0.0438903511041895,1e-05
1,194,TRUE,36,0.0181623730234537,0.0375467581167345,1e-05
2,129,TRUE,36,0.0181623730234537,0.0375467581167345,1e-05
3,87,TRUE,36,0.0181623730234537,0.0375467581167345,1e-05
1,217,TRUE,37,0.0155373153684439,0.0321200220460756,1e-05
2,141,TRUE,37,0.0155373153684439,0.0321200220460756,1e-05
3,81,TRUE,37,0.0155373153684439,0.0321200220460756,1e-05
1,236,TRUE,38,0.0132916645058849,0.0274776270439327,1e-05
2,150,TRUE,38,0.0132916645058849,0.0274776270439327,1e-05
3,75,TRUE,38,0.0132916645058849,0.0274776270439327,1e-05
1,248,TRUE,39,0.0113705837300447,0.0235062101415248,1e-05
2,160,TRUE,39,0.0113705837300447,0.0235062101415248,1e-05
3,73,TRUE,39,0.0113705837300447,0.0235062101415248,1e-05
1,266,TRUE,40,0.00972716203487634,0.0201087930312938,1e-05
2,158,TRUE,40,0.00972716203487634,0.0201087930312938,1e-05
3,70,TRUE,40,0.00972716203487634,0.0201087930312938,1e-05
1,350,TRUE,41,0.00832126859087539,0.0172024139468184,1e-05
2,162,TRUE,41,0.00832126859087539,0.0172024139468184,1e-05
3,67,TRUE,41,0.00832126859087539,0.0172024139468184,1e-05
1,208,TRUE,42,0.0071185727875427,0.0147161018136279,1e-05
2,214,TRUE,42,0.0071185727875427,0.0147161018136279,1e-05
3,62,TRUE,42,0.0071185727875427,0.0147161018136279,1e-05
1,210,TRUE,43,0.00608970591180167,0.0125891432015631,1e-05
2,215,TRUE,43,0.00608970591180167,0.0125891432015631,1e-05
1,203,TRUE,44,0.00520954399133618,0.0107695997592715,1e-05
2,222,TRUE,44,0.00520954399133618,0.0107695997592715,1e-05
1,333,TRUE,45,0.00445659429055048,0.00921303992796748,1e-05
2,171,TRUE,45,0.00445659429055048,0.00921303992796748,1e-05
1,364,TRUE,46,0.0038124704779531,0.00788145396408534,1e-05
2,174,TRUE,46,0.0038124704779531,0.00788145396408534,1e-05
1,211,TRUE,47,0.00326144364904004,0.00674232577668861,1e-05
2,238,TRUE,47,0.00326144364904004,0.00674232577668861,1e-05
1,227,TRUE,48,0.00279005824107379,0.00576783891476746,1e-05
2,172,TRUE,48,0.00279005824107379,0.00576783891476746,1e-05
1,222,TRUE,49,0.00238680346075426,0.00493419731537282,1e-05
2,143,TRUE,49,0.00238680346075426,0.00493419731537282,1e-05
1,232,TRUE,50,0.00204183220135076,0.00422104422588818,1e-05
2,122,TRUE,50,0.00204183220135076,0.00422104422588818,1e-05
1,243,TRUE,51,0.0017467205855129,0.00361096511106137,1e-05
2,125,TRUE,51,0.0017467205855129,0.00361096511106137,1e-05
1,254,TRUE,52,0.00149426226201944,0.00308906240624825,1e-05
2,159,TRUE,52,0.00149426226201944,0.00308906240624825,1e-05
1,260,TRUE,53,0.00127829243338299,0.00264259173273804,1e-05
2,131,TRUE,53,0.00127829243338299,0.00264259173273804,1e-05
1,266,TRUE,54,0.00109353731722829,0.0022606506918767,1e-05
2,96,TRUE,54,0.00109353731722829,0.0022606506918767,1e-05
1,340,TRUE,55,0.000935485365430906,0.00193391263863052,1e-05
2,89,TRUE,55,0.000935485365430906,0.00193391263863052,1e-05
1,345,TRUE,56,0.000800277096307539,0.00165439893358759,1e-05
2,84,TRUE,56,0.000800277096307539,0.00165439893358759,1e-05
1,219,TRUE,57,0.000684610849662435,0.00141528411200309,1e-05
2,128,TRUE,57,0.000684610849662435,0.00141528411200309,1e-05
1,219,TRUE,58,0.000585662163315752,0.00121072921229753,1e-05
2,138,TRUE,58,0.000585662163315752,0.00121072921229753,1e-05
1,200,TRUE,59,0.000501014802363725,0.00103573919404487,1e-05
2,140,TRUE,59,0.000501014802363725,0.00103573919404487,1e-05
1,211,TRUE,60,0.000428601756969282,0.00088604096373046,1e-05
2,169,TRUE,60,0.000428601756969282,0.00088604096373046,1e-05
